address,expression,operation,bitwidth,numConstantOperands,firstOperandConst,secondOperandConst,numPowerOfTwoOperands,firstOperandPowerOfTwo,secondOperandPowerOfTwo,numIdentityOperands,firstOperandIdentity,secondOperandIdentity,numZeroElementOperands,firstOperandZeroElem,secondOperandZeroElem
0x404010,"Sub64(t93,0x0000000000000008)",Iop_Sub64,64,2,<BV64 0x7fffffffffefe18>,<BV64 0x8>,0,False,False,0,False,False,0,False,False
0x404014,"Sub64(t4,t3)",Iop_Sub64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0x1a50>,0,False,False,0,False,False,0,False,False
0x40401b,"Add64(t96,0xfffffffffffffff8)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffffff8>,0,False,False,0,False,False,0,False,False
0x40401f,"Add64(t99,0xfffffffffffffff0)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffffff0>,0,False,False,0,False,False,0,False,False
0x404023,"Add64(t102,0xffffffffffffffe8)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffffe8>,0,False,False,0,False,False,0,False,False
0x404027,"Add64(t105,0xffffffffffffffe0)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffffe0>,0,False,False,0,False,False,0,False,False
0x40402b,"Add64(t108,0xfffffffffffffff0)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffffff0>,0,False,False,0,False,False,0,False,False
0x404032,"Add64(t112,0xffffffffffffffd8)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffffd8>,0,False,False,0,False,False,0,False,False
0x404036,"Add64(t115,0xfffffffffffffff0)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffffff0>,0,False,False,0,False,False,0,False,False
0x40403a,"Add64(t118,0x0000000000000008)",Iop_Add64,64,2,<BV64 0x7fffffffffeff60>,<BV64 0x8>,0,False,False,0,False,False,0,False,False
0x40403e,"Add64(t121,0xffffffffffffffd0)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffffd0>,0,False,False,0,False,False,0,False,False
0x404042,"Add64(t124,0xfffffffffffffff0)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffffff0>,0,False,False,0,False,False,0,False,False
0x404046,"Add64(t127,0x0000000000000010)",Iop_Add64,64,2,<BV64 0x7fffffffffeff60>,<BV64 0x10>,0,False,False,0,False,False,0,False,False
0x40404a,"Add64(t130,0xffffffffffffffc8)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffffc8>,0,False,False,0,False,False,0,False,False
0x40404e,"Add64(t133,0xfffffffffffffff0)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffffff0>,0,False,False,0,False,False,0,False,False
0x404052,"Add64(t136,0x0000000000000018)",Iop_Add64,64,2,<BV64 0x7fffffffffeff60>,<BV64 0x18>,0,False,False,0,False,False,0,False,False
0x404056,"Add64(t139,0xffffffffffffffc0)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffffc0>,0,False,False,0,False,False,0,False,False
0x40405a,"Add64(t142,0xfffffffffffffff0)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffffff0>,0,False,False,0,False,False,0,False,False
0x40405e,"Add64(t145,0x0000000000000020)",Iop_Add64,64,2,<BV64 0x7fffffffffeff60>,<BV64 0x20>,0,False,False,0,False,False,0,False,False
0x404062,"Add64(t148,0xffffffffffffffb8)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffffb8>,0,False,False,0,False,False,0,False,False
0x404066,"Add64(t151,0xffffffffffffffe8)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffffe8>,0,False,False,0,False,False,0,False,False
0x40406d,"Add64(t155,0xffffffffffffffb0)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffffb0>,0,False,False,0,False,False,0,False,False
0x404071,"Add64(t158,0xffffffffffffffe8)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffffe8>,0,False,False,0,False,False,0,False,False
0x404075,"Add64(t161,0x0000000000000008)",Iop_Add64,64,2,<BV64 0x7fffffffffefec0>,<BV64 0x8>,0,False,False,0,False,False,0,False,False
0x404079,"Add64(t164,0xffffffffffffffa8)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffffa8>,0,False,False,0,False,False,0,False,False
0x40407d,"Add64(t167,0xffffffffffffffe8)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffffe8>,0,False,False,0,False,False,0,False,False
0x404081,"Add64(t170,0x0000000000000010)",Iop_Add64,64,2,<BV64 0x7fffffffffefec0>,<BV64 0x10>,0,False,False,0,False,False,0,False,False
0x404085,"Add64(t173,0xffffffffffffffa0)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffffa0>,0,False,False,0,False,False,0,False,False
0x404089,"Add64(t176,0xffffffffffffffe8)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffffe8>,0,False,False,0,False,False,0,False,False
0x40408d,"Add64(t179,0x0000000000000018)",Iop_Add64,64,2,<BV64 0x7fffffffffefec0>,<BV64 0x18>,0,False,False,0,False,False,0,False,False
0x404091,"Add64(t182,0xffffffffffffff98)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffff98>,0,False,False,0,False,False,0,False,False
0x404095,"Add64(t185,0xffffffffffffffe8)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffffe8>,0,False,False,0,False,False,0,False,False
0x404099,"Add64(t188,0x0000000000000020)",Iop_Add64,64,2,<BV64 0x7fffffffffefec0>,<BV64 0x20>,0,False,False,0,False,False,0,False,False
0x40409d,"Add64(t191,0xffffffffffffff90)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffff90>,0,False,False,0,False,False,0,False,False
0x4040a1,"Add64(t194,0xfffffffffffffff0)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffffff0>,0,False,False,0,False,False,0,False,False
0x4040a5,"Add64(t197,0x0000000000000028)",Iop_Add64,64,2,<BV64 0x7fffffffffeff60>,<BV64 0x28>,0,False,False,0,False,False,0,False,False
0x4040a9,"Add64(t200,0xffffffffffffff88)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffff88>,0,False,False,0,False,False,0,False,False
0x4040ad,"Add64(t203,0xfffffffffffffff0)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffffff0>,0,False,False,0,False,False,0,False,False
0x4040b1,"Add64(t206,0x0000000000000030)",Iop_Add64,64,2,<BV64 0x7fffffffffeff60>,<BV64 0x30>,0,False,False,0,False,False,0,False,False
0x4040b5,"Add64(t209,0xffffffffffffff80)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffff80>,0,False,False,0,False,False,0,False,False
0x4040b9,"Add64(t212,0xfffffffffffffff0)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffffff0>,0,False,False,0,False,False,0,False,False
0x4040bd,"Add64(t215,0x0000000000000038)",Iop_Add64,64,2,<BV64 0x7fffffffffeff60>,<BV64 0x38>,0,False,False,0,False,False,0,False,False
0x4040c1,"Add64(t218,0xffffffffffffff78)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffff78>,0,False,False,0,False,False,0,False,False
0x4040c8,"Add64(t221,0xfffffffffffffff0)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffffff0>,0,False,False,0,False,False,0,False,False
0x4040cc,"Add64(t224,0x0000000000000040)",Iop_Add64,64,2,<BV64 0x7fffffffffeff60>,<BV64 0x40>,0,False,False,0,False,False,0,False,False
0x4040d0,"Add64(t227,0xffffffffffffff70)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffff70>,0,False,False,0,False,False,0,False,False
0x4040d7,"Add64(t230,0xfffffffffffffff0)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffffff0>,0,False,False,0,False,False,0,False,False
0x4040db,"Add64(t233,0x0000000000000048)",Iop_Add64,64,2,<BV64 0x7fffffffffeff60>,<BV64 0x48>,0,False,False,0,False,False,0,False,False
0x4040df,"Add64(t236,0xffffffffffffff68)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffff68>,0,False,False,0,False,False,0,False,False
0x4040e6,"Add64(t239,0xffffffffffffffe8)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffffe8>,0,False,False,0,False,False,0,False,False
0x4040ea,"Add64(t242,0x0000000000000028)",Iop_Add64,64,2,<BV64 0x7fffffffffefec0>,<BV64 0x28>,0,False,False,0,False,False,0,False,False
0x4040ee,"Add64(t245,0xffffffffffffff60)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffff60>,0,False,False,0,False,False,0,False,False
0x4040f5,"Add64(t248,0xffffffffffffffe8)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffffe8>,0,False,False,0,False,False,0,False,False
0x4040f9,"Add64(t251,0x0000000000000030)",Iop_Add64,64,2,<BV64 0x7fffffffffefec0>,<BV64 0x30>,0,False,False,0,False,False,0,False,False
0x4040fd,"Add64(t254,0xffffffffffffff58)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffff58>,0,False,False,0,False,False,0,False,False
0x404104,"Add64(t257,0xffffffffffffffe8)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffffe8>,0,False,False,0,False,False,0,False,False
0x404108,"Add64(t260,0x0000000000000038)",Iop_Add64,64,2,<BV64 0x7fffffffffefec0>,<BV64 0x38>,0,False,False,0,False,False,0,False,False
0x40410c,"Add64(t263,0xffffffffffffff50)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffff50>,0,False,False,0,False,False,0,False,False
0x404113,"Add64(t266,0xffffffffffffffe8)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffffe8>,0,False,False,0,False,False,0,False,False
0x404117,"Add64(t269,0x0000000000000040)",Iop_Add64,64,2,<BV64 0x7fffffffffefec0>,<BV64 0x40>,0,False,False,0,False,False,0,False,False
0x40411b,"Add64(t272,0xffffffffffffff48)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffff48>,0,False,False,0,False,False,0,False,False
0x404122,"Add64(t275,0xffffffffffffffe8)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffffe8>,0,False,False,0,False,False,0,False,False
