address,expression,operation,bitwidth,numConstantOperands,firstOperandConst,secondOperandConst,numPowerOfTwoOperands,firstOperandPowerOfTwo,secondOperandPowerOfTwo,numIdentityOperands,firstOperandIdentity,secondOperandIdentity,numZeroElementOperands,firstOperandZeroElem,secondOperandZeroElem
0x441914,"Sub64(t242,0x0000000000000008)",Iop_Sub64,64,2,<BV64 0x7fffffffffefe18>,<BV64 0x8>,0,False,False,0,False,False,0,False,False
0x441916,"Sub64(t244,0x0000000000000008)",Iop_Sub64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0x8>,0,False,False,0,False,False,0,False,False
0x441918,"Sub64(t246,0x0000000000000008)",Iop_Sub64,64,2,<BV64 0x7fffffffffefe08>,<BV64 0x8>,0,False,False,0,False,False,0,False,False
0x44191a,"Sub64(t248,0x0000000000000008)",Iop_Sub64,64,2,<BV64 0x7fffffffffefe00>,<BV64 0x8>,0,False,False,0,False,False,0,False,False
0x44191c,"Sub64(t250,0x0000000000000008)",Iop_Sub64,64,2,<BV64 0x7fffffffffefdf8>,<BV64 0x8>,0,False,False,0,False,False,0,False,False
0x44191d,"Sub64(t252,0x0000000000000008)",Iop_Sub64,64,2,<BV64 0x7fffffffffefdf0>,<BV64 0x8>,0,False,False,0,False,False,0,False,False
0x441921,"Add64(t255,0x0000000000000008)",Iop_Add64,64,2,<BV64 0x7fffffffffeff60>,<BV64 0x8>,0,False,False,0,False,False,0,False,False
0x441925,"Add64(t258,0x0000000000000020)",Iop_Add64,64,2,<BV64 0x7fffffffffeff60>,<BV64 0x20>,0,False,False,0,False,False,0,False,False
0x441929,"Add64(t261,0x0000000000000010)",Iop_Add64,64,2,<BV64 0x7fffffffffeff60>,<BV64 0x10>,0,False,False,0,False,False,0,False,False
0x44192d,"Add64(t264,0x0000000000000018)",Iop_Add64,64,2,<BV64 0x7fffffffffeff60>,<BV64 0x18>,0,False,False,0,False,False,0,False,False
0x441934,"Add64(t268,0x0000000000000010)",Iop_Add64,64,2,<BV64 0x7fffffffffefec0>,<BV64 0x10>,0,False,False,0,False,False,0,False,False
0x441938,"Add64(t271,0x0000000000000018)",Iop_Add64,64,2,<BV64 0x7fffffffffefec0>,<BV64 0x18>,0,False,False,0,False,False,0,False,False
0x44193c,"Add64(t274,0x0000000000000008)",Iop_Add64,64,2,<BV64 0x7fffffffffefec0>,<BV64 0x8>,0,False,False,0,False,False,0,False,False
0x441940,"Add64(t277,0xffffffffffffffc0)",Iop_Add64,64,2,<BV64 0x7fffffffffefde8>,<BV64 0xffffffffffffffc0>,0,False,False,0,False,False,0,False,False
0x441945,"Add64(t280,0xffffffffffffffb0)",Iop_Add64,64,2,<BV64 0x7fffffffffefde8>,<BV64 0xffffffffffffffb0>,0,False,False,0,False,False,0,False,False
0x44194a,"Add64(t283,0x0000000000000020)",Iop_Add64,64,2,<BV64 0x7fffffffffefec0>,<BV64 0x20>,0,False,False,0,False,False,0,False,False
0x44194e,"Shl64(t288,0x03)",Iop_Shl64,64,1,None,<BV64 0x3>,0,False,False,0,False,False,1,True,False
0x44194e,"Add64(t286,t287)",Iop_Add64,64,0,None,None,0,False,False,2,True,True,0,False,False
0x441952,"Shl64(t292,0x01)",Iop_Shl64,64,1,None,<BV64 0x1>,0,False,False,0,False,False,1,True,False
0x441952,"Add64(t290,t291)",Iop_Add64,64,0,None,None,0,False,False,2,True,True,0,False,False
0x441956,"Shl64(t296,0x03)",Iop_Shl64,64,1,None,<BV64 0x3>,0,False,False,0,False,False,1,True,False
0x441956,"Add64(t294,t295)",Iop_Add64,64,0,None,None,0,False,False,2,True,True,0,False,False
0x44195a,"Add64(t298,0xffffffffffffffb8)",Iop_Add64,64,2,<BV64 0x7fffffffffefde8>,<BV64 0xffffffffffffffb8>,0,False,False,0,False,False,0,False,False
0x44195f,"Shl64(t303,0x01)",Iop_Shl64,64,1,None,<BV64 0x1>,0,False,False,0,False,False,1,True,False
0x44195f,"Add64(t301,t302)",Iop_Add64,64,0,None,None,0,False,False,2,True,True,0,False,False
0x441963,"Shl64(t307,0x03)",Iop_Shl64,64,1,None,<BV64 0x3>,0,False,False,0,False,False,1,True,False
0x441963,"Add64(t305,t306)",Iop_Add64,64,0,None,None,0,False,False,2,True,True,0,False,False
0x441967,"Add64(t309,0xffffffffffffffd0)",Iop_Add64,64,2,<BV64 0x7fffffffffefde8>,<BV64 0xffffffffffffffd0>,0,False,False,0,False,False,0,False,False
0x44196c,"Shl64(t314,0x01)",Iop_Shl64,64,1,None,<BV64 0x1>,0,False,False,0,False,False,1,True,False
0x44196c,"Add64(t312,t313)",Iop_Add64,64,0,None,None,0,False,False,2,True,True,0,False,False
0x441973,"Add64(t317,0xffffffffffffffc8)",Iop_Add64,64,2,<BV64 0x7fffffffffefde8>,<BV64 0xffffffffffffffc8>,0,False,False,0,False,False,0,False,False
0x44197e,"Add64(t323,0xffffffffffffffb0)",Iop_Add64,64,2,<BV64 0x7fffffffffefde8>,<BV64 0xffffffffffffffb0>,0,False,False,0,False,False,0,False,False
0x441989,"Add64(t48,t47)",Iop_Add64,64,0,None,None,0,False,False,2,True,True,0,False,False
0x44198f,"And64(t334,0x0000000000000001)",Iop_And64,64,1,None,<BV64 0x1>,0,False,False,0,False,False,1,True,False
0x44198f,"Add64(t51,t50)",Iop_Add64,64,0,None,None,0,False,False,2,True,True,0,False,False
0x44198f,"Add64(t336,t53)",Iop_Add64,64,0,None,None,0,False,False,2,True,True,0,False,False
0x44198f,"Xor64(t50,t53)",Iop_Xor64,64,0,None,None,0,False,False,2,True,True,0,False,False
0x441995,"Add64(t62,t61)",Iop_Add64,64,0,None,None,0,False,False,2,True,True,0,False,False
0x44199b,"And64(t346,0x0000000000000001)",Iop_And64,64,1,None,<BV64 0x1>,0,False,False,0,False,False,1,True,False
0x44199b,"Add64(t65,t64)",Iop_Add64,64,0,None,None,0,False,False,2,True,True,0,False,False
0x44199b,"Add64(t348,t67)",Iop_Add64,64,0,None,None,0,False,False,2,True,True,0,False,False
0x44199b,"Xor64(t64,t67)",Iop_Xor64,64,0,None,None,0,False,False,2,True,True,0,False,False
0x4419a1,"Add64(t76,t75)",Iop_Add64,64,0,None,None,0,False,False,2,True,True,0,False,False
0x4419a4,"Shl64(t355,0x03)",Iop_Shl64,64,1,None,<BV64 0x3>,0,False,False,0,False,False,1,True,False
