address,expression,operation,bitwidth,numConstantOperands,firstOperandConst,secondOperandConst,numPowerOfTwoOperands,firstOperandPowerOfTwo,secondOperandPowerOfTwo,numIdentityOperands,firstOperandIdentity,secondOperandIdentity,numZeroElementOperands,firstOperandZeroElem,secondOperandZeroElem,numPossibleFirstOperand,numPossibleSecondOperand,serializedFirstOperandFormula,serializedSecondOperandFormula
0x4014c7,"Sub64(t19,0x0000000000000008)",Iop_Sub64,64,2,<BV64 0x7fffffffffefe18>,8,0,False,False,0,False,False,0,False,False,None,None,,
0x4014cb,"Sub64(t4,t3)",Iop_Sub64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0x1f0>,0,False,False,0,False,False,0,False,False,None,None,,
0x4014d2,"Add64(t22,0xfffffffffffffe28)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,18446744073709551144,0,False,False,0,False,False,0,False,False,None,None,,
0x4014d9,"Add64(t25,0xfffffffffffffe20)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,18446744073709551136,0,False,False,0,False,False,0,False,False,None,None,,
0x4014e0,"Add64(t28,0xfffffffffffffe18)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,18446744073709551128,0,False,False,0,False,False,0,False,False,None,None,,
0x4014e7,"Add64(0x0000000000000028,t31)",Iop_Add64,64,2,40,<BV64 0x710000>,0,False,False,0,False,False,0,False,False,None,None,,
0x4014f0,"Add64(t34,0xfffffffffffffff8)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,18446744073709551608,0,False,False,0,False,False,0,False,False,None,None,,
0x4014f4,"Xor32(t12,t11)",Iop_Xor32,32,2,<BV32 0x0>,<BV32 0x0>,0,False,False,2,True,True,0,False,False,None,None,,
0x4014f6,"Add64(t44,0xffffffffffffff00)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,18446744073709551360,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Sub64(t15,0x0000000000000001)",Iop_Sub64,64,2,<BV64 0x1e>,1,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Shl64(t51,0x03)",Iop_Shl64,64,2,<BV64 0x1>,3,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Add64(t17,t14)",Iop_Add64,64,2,<BV64 0x7fffffffffefd10>,<BV64 0x8>,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Sub64(t1,0x0000000000000001)",Iop_Sub64,64,2,<BV64 0x1d>,1,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Shl64(t7,0x03)",Iop_Shl64,64,2,<BV64 0x1>,3,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Add64(t3,t0)",Iop_Add64,64,2,<BV64 0x7fffffffffefd18>,<BV64 0x8>,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Sub64(t1,0x0000000000000001)",Iop_Sub64,64,2,<BV64 0x1c>,1,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Add64(t3,t0)",Iop_Add64,64,2,<BV64 0x7fffffffffefd20>,<BV64 0x8>,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Sub64(t1,0x0000000000000001)",Iop_Sub64,64,2,<BV64 0x1b>,1,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Add64(t3,t0)",Iop_Add64,64,2,<BV64 0x7fffffffffefd28>,<BV64 0x8>,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Sub64(t1,0x0000000000000001)",Iop_Sub64,64,2,<BV64 0x1a>,1,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Add64(t3,t0)",Iop_Add64,64,2,<BV64 0x7fffffffffefd30>,<BV64 0x8>,0,False,False,0,False,False,0,False,False,None,None,,
