address,expression,operation,bitwidth,numConstantOperands,firstOperandConst,secOperandConst,numPowerOfTwoOperands,firstOperandPowerOfTwo,secondOperandPowerOfTwo,numIdentityOperands,firstOperandIdentity,secOperandIdentity,zeroElementOperands,firstOperandZeroElem,secOperandZeroElem,numPossibleFirstOperand,numPossibleSecondOperand,serializedFirstOperandFormula,serializedSecondOperandFormula
0x405162,"Add64(t168,0xffffffffffffffe0)",Iop_Add64,64,1,None,18446744073709551584,0,False,False,0,False,False,0,False,False,None,None,,
0x405166,"Add64(t168,0xffffffffffffffe0)",Iop_Add64,64,1,None,18446744073709551584,0,False,False,0,False,False,0,False,False,None,None,,
0x40516a,"Add64(t168,0xffffffffffffffe0)",Iop_Add64,64,1,None,18446744073709551584,0,False,False,0,False,False,0,False,False,None,None,,
0x40517c,"Add64(t168,0xffffffffffffffe8)",Iop_Add64,64,1,None,18446744073709551592,0,False,False,0,False,False,0,False,False,None,None,,
0x405180,"Add64(t168,0xffffffffffffffe8)",Iop_Add64,64,1,None,18446744073709551592,0,False,False,0,False,False,0,False,False,None,None,,
0x405184,"Add64(t168,0xffffffffffffffe8)",Iop_Add64,64,1,None,18446744073709551592,0,False,False,0,False,False,0,False,False,None,None,,
0x405191,"Add64(t168,0xfffffffffffffffe)",Iop_Add64,64,1,None,18446744073709551614,0,False,False,0,False,False,0,False,False,None,None,,
0x40519c,"Add64(t168,0xfffffffffffffffe)",Iop_Add64,64,1,None,18446744073709551614,0,False,False,0,False,False,0,False,False,None,None,,
0x4051aa,"Add64(t168,0xfffffffffffffffe)",Iop_Add64,64,1,None,18446744073709551614,0,False,False,0,False,False,0,False,False,None,None,,
0x4051ae,"Add64(t168,0xfffffffffffffffe)",Iop_Add64,64,1,None,18446744073709551614,0,False,False,0,False,False,0,False,False,None,None,,
0x4051b2,"Add64(t168,0xfffffffffffffffe)",Iop_Add64,64,1,None,18446744073709551614,0,False,False,0,False,False,0,False,False,None,None,,
0x4051b5,"Add64(t168,0xffffffffffffffe8)",Iop_Add64,64,1,None,18446744073709551592,0,False,False,0,False,False,0,False,False,None,None,,
0x4051c2,"Add64(t168,0xffffffffffffffff)",Iop_Add64,64,1,None,18446744073709551615,0,False,False,0,False,False,0,False,False,None,None,,
0x4051cd,"Add64(t168,0xffffffffffffffff)",Iop_Add64,64,1,None,18446744073709551615,0,False,False,0,False,False,0,False,False,None,None,,
0x4051db,"Add64(t168,0xffffffffffffffff)",Iop_Add64,64,1,None,18446744073709551615,0,False,False,0,False,False,0,False,False,None,None,,
0x4051df,"Add64(t168,0xffffffffffffffff)",Iop_Add64,64,1,None,18446744073709551615,0,False,False,0,False,False,0,False,False,None,None,,
0x4051e3,"Add64(t168,0xffffffffffffffff)",Iop_Add64,64,1,None,18446744073709551615,0,False,False,0,False,False,0,False,False,None,None,,
0x4051e6,"Add64(t168,0xffffffffffffffe0)",Iop_Add64,64,1,None,18446744073709551584,0,False,False,0,False,False,0,False,False,None,None,,
0x4051fc,"Add64(t168,0xffffffffffffffd0)",Iop_Add64,64,1,None,18446744073709551568,0,False,False,0,False,False,0,False,False,None,None,,
0x405200,"Add64(t168,0xffffffffffffffd0)",Iop_Add64,64,1,None,18446744073709551568,0,False,False,0,False,False,0,False,False,None,None,,
0x405204,"Add64(t168,0xfffffffffffffffe)",Iop_Add64,64,1,None,18446744073709551614,0,False,False,0,False,False,0,False,False,None,None,,
0x405208,"Add64(t168,0xfffffffffffffffe)",Iop_Add64,64,1,None,18446744073709551614,0,False,False,0,False,False,0,False,False,None,None,,
0x405216,"Add64(t168,0xffffffffffffffff)",Iop_Add64,64,1,None,18446744073709551615,0,False,False,0,False,False,0,False,False,None,None,,
0x40521a,"Add64(t168,0xffffffffffffffff)",Iop_Add64,64,1,None,18446744073709551615,0,False,False,0,False,False,0,False,False,None,None,,
0x405236,"Add64(t168,0xfffffffffffffff0)",Iop_Add64,64,1,None,18446744073709551600,0,False,False,0,False,False,0,False,False,None,None,,
0x40523a,"Add64(t168,0xfffffffffffffff0)",Iop_Add64,64,1,None,18446744073709551600,0,False,False,0,False,False,0,False,False,None,None,,
0x405242,"Add64(t168,0xfffffffffffffffe)",Iop_Add64,64,1,None,18446744073709551614,0,False,False,0,False,False,0,False,False,None,None,,
0x405246,"Add64(t168,0xffffffffffffffff)",Iop_Add64,64,1,None,18446744073709551615,0,False,False,0,False,False,0,False,False,None,None,,
0x405264,"Add64(t168,0xfffffffffffffff0)",Iop_Add64,64,1,None,18446744073709551600,0,False,False,0,False,False,0,False,False,None,None,,
0x405268,"Add64(t168,0xfffffffffffffff0)",Iop_Add64,64,1,None,18446744073709551600,0,False,False,0,False,False,0,False,False,None,None,,
0x40527a,"Add64(t168,0xffffffffffffffd8)",Iop_Add64,64,1,None,18446744073709551576,0,False,False,0,False,False,0,False,False,None,None,,
0x40527e,"Add64(t168,0xffffffffffffffd8)",Iop_Add64,64,1,None,18446744073709551576,0,False,False,0,False,False,0,False,False,None,None,,
0x405282,"Add64(t168,0xffffffffffffffd8)",Iop_Add64,64,1,None,18446744073709551576,0,False,False,0,False,False,0,False,False,None,None,,
0x405286,"Add64(t168,0xffffffffffffffd0)",Iop_Add64,64,1,None,18446744073709551568,0,False,False,0,False,False,0,False,False,None,None,,
0x40528d,"Add64(t168,0x0000000000000008)",Iop_Add64,64,1,None,8,0,False,False,0,False,False,0,False,False,None,None,,
0x40528e,"Add64(t443,0x0000000000000008)",Iop_Add64,64,1,None,8,0,False,False,0,False,False,0,False,False,None,None,,
